Anno Accademico;Iscritti Maschi;Iscritti Femmine;Iscritti Totali;fonte dati;note
1998/1999;771.347;944.380;1.715.727;Rilevazione Istruzione Universitaria;
1999/2000;746.726;927.234;1.673.960;Rilevazione Istruzione Universitaria;
2000/2001;745.441;943.363;1.688.804;Rilevazione Istruzione Universitaria;
2001/2002;758.451;964.006;1.722.457;Rilevazione Istruzione Universitaria;
2002/2003;779.324;988.971;1.768.295;Rilevazione Istruzione Universitaria;
2003/2004;801.323;1.012.725;1.814.048;Rilevazione Istruzione Universitaria;
2004/2005;799.664;1.020.557;1.820.221;Rilevazione Istruzione Universitaria;
2005/2006;796.052;1.027.696;1.823.748;Rilevazione Istruzione Universitaria;
2006/2007;786.634;1.023.467;1.810.101;Rilevazione Istruzione Universitaria;
2007/2008;780.567;1.028.932;1.809.499;Rilevazione Istruzione Universitaria;
2008/2009;776.234;1.036.027;1.812.261;Rilevazione Istruzione Universitaria;
2009/2010;769.813;1.029.457;1.799.270;Rilevazione Istruzione Universitaria;
2010/2011;783.577;1.038.241;1.821.818;Anagrafe Nazionale degli Studenti universitari (ANS) - agosto 2021;
2011/2012;760.328;1.010.489;1.770.817;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2012/2013;741.244;978.641;1.719.885;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2013/2014;732.995;953.154;1.686.149;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2014/2015;727.110;937.246;1.664.356;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2015/2016;726.994;923.307;1.650.301;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2016/2017;740.989;926.533;1.667.522;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2017/2018;757.054;939.284;1.696.338;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2018/2019;768.246;954.556;1.722.802;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2019/2020;786.251;981.467;1.767.718;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
2020/2021;810307;1028388;1.838.695;Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2022;
